C,m_used,rho,one_minus_rho,tax_pct
1,7,0.028577250781,0.971422749219,97.1423
2,7,0.629136959528,0.370863040472,37.0863
3,7,0.960229328652,0.039770671348,3.9771
4,7,0.997061346668,0.002938653332,0.2939
5,7,0.999423968745,0.000576031255,0.0576
6,7,0.999532619641,0.000467380359,0.0467
7,7,0.999536260145,0.000463739855,0.0464
8,7,0.999536358206,0.000463641794,0.0464
9,7,0.999536360468,0.000463639532,0.0464
10,7,0.999536360510,0.000463639490,0.0464
11,7,0.999536360511,0.000463639489,0.0464
12,7,0.999536360511,0.000463639489,0.0464
13,7,0.999536360511,0.000463639489,0.0464
14,7,0.999536360511,0.000463639489,0.0464
15,7,0.999536360511,0.000463639489,0.0464
