C,m,u,v,count
1,1,0,0,1
1,4,0,1,1
2,1,0,0,1
2,1,0,2,1
2,5,0,2,1
2,7,0,2,1
3,1,0,0,1
3,1,0,2,1
3,5,0,2,1
3,5,0,3,1
3,9,0,3,1
4,1,0,0,1
4,1,0,2,1
4,1,0,4,1
4,5,0,2,1
4,5,0,3,1
4,5,0,4,1
4,5,1,3,1
4,10,0,4,1
4,12,0,4,1
5,1,0,0,1
5,1,0,2,1
5,1,0,4,1
5,5,0,2,1
5,5,0,3,1
5,5,0,4,1
5,5,0,5,1
5,5,1,3,1
5,5,1,4,1
5,10,0,4,1
5,10,0,5,1
5,14,0,5,1
6,1,0,0,1
6,1,0,2,1
6,1,0,4,1
6,1,0,6,1
6,5,0,2,1
6,5,0,3,1
6,5,0,4,1
6,5,0,5,1
6,5,0,6,1
6,5,1,3,1
6,5,1,4,1
6,5,1,5,1
6,10,0,4,1
6,10,0,5,1
6,10,0,6,1
6,10,1,5,1
6,16,0,6,1
7,1,0,0,1
7,1,0,2,1
7,1,0,4,1
7,1,0,6,1
7,5,0,2,1
7,5,0,3,1
7,5,0,4,1
7,5,0,5,1
7,5,0,6,1
7,5,0,7,1
7,5,1,3,1
7,5,1,4,1
7,5,1,5,1
7,10,0,4,1
7,10,0,5,1
7,10,0,6,1
7,10,0,7,1
7,10,1,5,1
7,10,1,6,1
7,19,0,7,1
8,1,0,0,1
8,1,0,2,1
8,1,0,4,1
8,1,0,6,1
8,1,0,8,1
8,5,0,2,1
8,5,0,3,1
8,5,0,4,1
8,5,0,5,1
8,5,0,6,1
8,5,0,7,1
8,5,0,8,1
8,5,1,3,1
8,5,1,4,1
8,5,1,5,1
8,10,0,4,1
8,10,0,5,1
8,10,0,6,1
8,10,0,7,1
8,10,0,8,1
8,10,1,5,1
8,10,1,6,1
8,10,1,7,1
8,20,0,8,1
8,21,0,8,1
9,1,0,0,1
9,1,0,2,1
9,1,0,4,1
9,1,0,6,1
9,1,0,8,1
9,5,0,2,1
9,5,0,3,1
9,5,0,4,1
9,5,0,5,1
9,5,0,6,1
9,5,0,7,1
9,5,0,8,1
9,5,0,9,1
9,5,1,3,1
9,5,1,4,1
9,5,1,5,1
9,5,1,8,1
9,10,0,4,1
9,10,0,5,1
9,10,0,6,1
9,10,0,7,1
9,10,0,8,1
9,10,0,9,1
9,10,1,5,1
9,10,1,6,1
9,10,1,7,1
9,20,0,8,1
9,20,0,9,1
9,24,0,9,1
10,1,0,0,1
10,1,0,2,1
10,1,0,4,1
10,1,0,6,1
10,1,0,8,1
10,1,0,10,1
10,5,0,2,1
10,5,0,3,1
10,5,0,4,1
10,5,0,5,1
10,5,0,6,1
10,5,0,7,1
10,5,0,8,1
10,5,0,9,1
10,5,0,10,1
10,5,1,3,1
10,5,1,4,1
10,5,1,5,1
10,5,1,8,1
10,5,1,9,1
10,10,0,4,1
10,10,0,5,1
10,10,0,6,1
10,10,0,7,1
10,10,0,8,1
10,10,0,9,1
10,10,0,10,1
10,10,1,5,1
10,10,1,6,1
10,10,1,7,1
10,10,1,9,1
10,20,0,8,1
10,20,0,9,1
10,20,0,10,1
10,20,1,9,1
10,26,0,10,1
11,1,0,0,1
11,1,0,2,1
11,1,0,4,1
11,1,0,6,1
11,1,0,8,1
11,1,0,10,1
11,5,0,2,1
11,5,0,3,1
11,5,0,4,1
11,5,0,5,1
11,5,0,6,1
11,5,0,7,1
11,5,0,8,1
11,5,0,9,1
11,5,0,10,1
11,5,0,11,1
11,5,1,3,1
11,5,1,4,1
11,5,1,5,1
11,5,1,8,1
11,5,1,9,1
11,10,0,4,1
11,10,0,5,1
11,10,0,6,1
11,10,0,7,1
11,10,0,8,1
11,10,0,9,1
11,10,0,10,1
11,10,0,11,1
11,10,1,5,1
11,10,1,6,1
11,10,1,7,1
11,10,1,9,1
11,10,1,10,1
11,20,0,8,1
11,20,0,9,1
11,20,0,10,1
11,20,0,11,1
11,20,1,9,1
11,20,1,10,1
11,20,2,9,1
11,20,3,8,1
11,53,0,11,1
11,53,1,10,1
12,1,0,0,1
12,1,0,2,1
12,1,0,4,1
12,1,0,6,1
12,1,0,8,1
12,1,0,10,1
12,1,0,12,1
12,5,0,2,1
12,5,0,3,1
12,5,0,4,1
12,5,0,5,1
12,5,0,6,1
12,5,0,7,1
12,5,0,8,1
12,5,0,9,1
12,5,0,10,1
12,5,0,11,1
12,5,0,12,1
12,5,1,3,1
12,5,1,4,1
12,5,1,5,1
12,5,1,8,1
12,5,1,9,1
12,10,0,4,1
12,10,0,5,1
12,10,0,6,1
12,10,0,7,1
12,10,0,8,1
12,10,0,9,1
12,10,0,10,1
12,10,0,11,1
12,10,0,12,1
12,10,1,5,1
12,10,1,6,1
12,10,1,7,1
12,10,1,9,1
12,10,1,10,1
12,10,1,11,1
12,20,0,8,1
12,20,0,9,1
12,20,0,10,1
12,20,0,11,1
12,20,0,12,1
12,20,1,9,1
12,20,1,10,1
12,20,1,11,1
12,20,2,9,1
12,20,2,10,1
12,20,3,8,1
12,20,3,9,1
12,20,4,8,1
12,53,0,11,1
12,53,0,12,1
12,53,1,10,1
12,53,1,11,1
12,53,2,10,1
12,53,3,9,1
13,1,0,0,1
13,1,0,2,1
13,1,0,4,1
13,1,0,6,1
13,1,0,8,1
13,1,0,10,1
13,1,0,12,1
13,5,0,2,1
13,5,0,3,1
13,5,0,4,1
13,5,0,5,1
13,5,0,6,1
13,5,0,7,1
13,5,0,8,1
13,5,0,9,1
13,5,0,10,1
13,5,0,11,1
13,5,0,12,1
13,5,0,13,1
13,5,1,3,1
13,5,1,4,1
13,5,1,5,1
13,5,1,8,1
13,5,1,9,1
13,5,1,12,1
13,10,0,4,1
13,10,0,5,1
13,10,0,6,1
13,10,0,7,1
13,10,0,8,1
13,10,0,9,1
13,10,0,10,1
13,10,0,11,1
13,10,0,12,1
13,10,0,13,1
13,10,1,5,1
13,10,1,6,1
13,10,1,7,1
13,10,1,9,1
13,10,1,10,1
13,10,1,11,1
13,10,1,12,1
13,10,2,11,1
13,20,0,8,1
13,20,0,9,1
13,20,0,10,1
13,20,0,11,1
13,20,0,12,1
13,20,0,13,1
13,20,1,9,1
13,20,1,10,1
13,20,1,11,1
13,20,1,12,1
13,20,2,9,1
13,20,2,10,1
13,20,2,11,1
13,20,3,8,1
13,20,3,9,1
13,20,3,10,1
13,20,4,8,1
13,20,4,9,1
13,53,0,11,1
13,53,0,12,1
13,53,0,13,1
13,53,1,10,1
13,53,1,11,1
13,53,1,12,1
13,53,2,10,1
13,53,2,11,1
13,53,3,9,1
13,53,3,10,1
14,1,0,0,1
14,1,0,2,1
14,1,0,4,1
14,1,0,6,1
14,1,0,8,1
14,1,0,10,1
14,1,0,12,1
14,1,0,14,1
14,5,0,2,1
14,5,0,3,1
14,5,0,4,1
14,5,0,5,1
14,5,0,6,1
14,5,0,7,1
14,5,0,8,1
14,5,0,9,1
14,5,0,10,1
14,5,0,11,1
14,5,0,12,1
14,5,0,13,1
14,5,0,14,1
14,5,1,3,1
14,5,1,4,1
14,5,1,5,1
14,5,1,8,1
14,5,1,9,1
14,5,1,12,1
14,5,1,13,1
14,10,0,4,1
14,10,0,5,1
14,10,0,6,1
14,10,0,7,1
14,10,0,8,1
14,10,0,9,1
14,10,0,10,1
14,10,0,11,1
14,10,0,12,1
14,10,0,13,1
14,10,0,14,1
14,10,1,5,1
14,10,1,6,1
14,10,1,7,1
14,10,1,9,1
14,10,1,10,1
14,10,1,11,1
14,10,1,12,1
14,10,1,13,1
14,10,2,11,1
14,20,0,8,1
14,20,0,9,1
14,20,0,10,1
14,20,0,11,1
14,20,0,12,1
