C,m,L_final_live,peak_live
1,1,1,1
1,2,1,1
1,3,1,1
1,4,1,1
1,5,0,1
1,6,0,1
1,7,0,1
1,8,0,1
1,9,0,1
1,10,0,1
1,11,0,1
1,12,0,1
1,13,0,1
1,14,0,1
1,15,0,1
1,16,0,1
1,17,0,1
1,18,0,1
1,19,0,1
1,20,0,1
1,21,0,1
1,22,0,1
1,23,0,1
1,24,0,1
1,25,0,1
1,26,0,1
1,27,0,1
1,28,0,1
1,29,0,1
1,30,0,1
1,31,0,1
1,32,0,1
1,33,0,1
1,34,0,1
1,35,0,1
1,36,0,1
1,37,0,1
1,38,0,1
1,39,0,1
1,40,0,1
1,41,0,1
1,42,0,1
1,43,0,1
1,44,0,1
1,45,0,1
1,46,0,1
1,47,0,1
1,48,0,1
1,49,0,1
1,50,0,1
1,51,0,1
1,52,0,1
1,53,0,1
2,1,2,2
2,2,3,3
2,3,2,3
2,4,1,3
2,5,1,3
2,6,1,3
2,7,1,3
2,8,0,3
2,9,0,3
2,10,0,3
2,11,0,3
2,12,0,3
2,13,0,3
2,14,0,3
2,15,0,3
2,16,0,3
2,17,0,3
2,18,0,3
2,19,0,3
2,20,0,3
2,21,0,3
2,22,0,3
2,23,0,3
2,24,0,3
2,25,0,3
2,26,0,3
2,27,0,3
2,28,0,3
2,29,0,3
2,30,0,3
2,31,0,3
2,32,0,3
2,33,0,3
2,34,0,3
2,35,0,3
2,36,0,3
2,37,0,3
2,38,0,3
2,39,0,3
2,40,0,3
2,41,0,3
2,42,0,3
2,43,0,3
2,44,0,3
2,45,0,3
2,46,0,3
2,47,0,3
2,48,0,3
2,49,0,3
2,50,0,3
2,51,0,3
2,52,0,3
2,53,0,3
3,1,2,2
3,2,4,4
3,3,3,4
3,4,3,4
3,5,2,4
3,6,1,4
3,7,1,4
3,8,1,4
3,9,1,4
3,10,0,4
3,11,0,4
3,12,0,4
3,13,0,4
3,14,0,4
3,15,0,4
3,16,0,4
3,17,0,4
3,18,0,4
3,19,0,4
3,20,0,4
3,21,0,4
3,22,0,4
3,23,0,4
3,24,0,4
3,25,0,4
3,26,0,4
3,27,0,4
3,28,0,4
3,29,0,4
3,30,0,4
3,31,0,4
3,32,0,4
3,33,0,4
3,34,0,4
3,35,0,4
3,36,0,4
3,37,0,4
3,38,0,4
3,39,0,4
3,40,0,4
3,41,0,4
3,42,0,4
3,43,0,4
3,44,0,4
3,45,0,4
3,46,0,4
3,47,0,4
3,48,0,4
3,49,0,4
3,50,0,4
3,51,0,4
3,52,0,4
3,53,0,4
4,1,3,3
4,2,5,5
4,3,4,5
4,4,5,5
4,5,4,6
4,6,3,6
4,7,3,6
4,8,2,6
4,9,1,6
4,10,1,6
4,11,1,6
4,12,1,6
4,13,0,6
4,14,0,6
4,15,0,6
4,16,0,6
4,17,0,6
4,18,0,6
4,19,0,6
4,20,0,6
4,21,0,6
4,22,0,6
4,23,0,6
4,24,0,6
4,25,0,6
4,26,0,6
4,27,0,6
4,28,0,6
4,29,0,6
4,30,0,6
4,31,0,6
4,32,0,6
4,33,0,6
4,34,0,6
4,35,0,6
4,36,0,6
4,37,0,6
4,38,0,6
4,39,0,6
4,40,0,6
4,41,0,6
4,42,0,6
4,43,0,6
4,44,0,6
4,45,0,6
4,46,0,6
4,47,0,6
4,48,0,6
4,49,0,6
4,50,0,6
4,51,0,6
4,52,0,6
4,53,0,6
5,1,3,3
5,2,6,6
5,3,5,6
5,4,7,7
5,5,6,8
5,6,5,9
5,7,6,9
5,8,4,11
5,9,3,12
5,10,2,13
5,11,1,13
5,12,1,13
5,13,1,13
5,14,1,13
5,15,0,13
5,16,0,13
5,17,0,13
5,18,0,13
5,19,0,13
5,20,0,13
5,21,0,13
5,22,0,13
5,23,0,13
5,24,0,13
5,25,0,13
5,26,0,13
5,27,0,13
5,28,0,13
5,29,0,13
5,30,0,13
5,31,0,13
5,32,0,13
5,33,0,13
5,34,0,13
5,35,0,13
5,36,0,13
5,37,0,13
5,38,0,13
5,39,0,13
5,40,0,13
5,41,0,13
5,42,0,13
5,43,0,13
5,44,0,13
5,45,0,13
5,46,0,13
5,47,0,13
5,48,0,13
5,49,0,13
5,50,0,13
5,51,0,13
5,52,0,13
5,53,0,13
6,1,4,4
6,2,7,7
6,3,6,8
6,4,9,9
6,5,8,11
6,6,8,13
6,7,9,14
6,8,5,17
6,9,5,19
6,10,4,21
6,11,3,21
6,12,3,21
6,13,2,21
6,14,1,21
6,15,1,21
6,16,1,21
6,17,0,21
6,18,0,21
6,19,0,21
6,20,0,21
6,21,0,21
6,22,0,21
6,23,0,21
6,24,0,21
6,25,0,21
6,26,0,21
6,27,0,21
6,28,0,21
6,29,0,21
6,30,0,21
6,31,0,21
6,32,0,21
6,33,0,21
6,34,0,21
6,35,0,21
6,36,0,21
6,37,0,21
6,38,0,21
6,39,0,21
6,40,0,21
6,41,0,21
6,42,0,21
6,43,0,21
6,44,0,21
6,45,0,21
6,46,0,21
6,47,0,21
6,48,0,21
6,49,0,21
6,50,0,21
6,51,0,21
6,52,0,21
6,53,0,21
7,1,4,4
7,2,8,8
7,3,7,9
7,4,11,12
7,5,9,15
7,6,10,18
7,7,12,18
7,8,8,23
7,9,8,28
7,10,6,31
7,11,5,31
7,12,6,31
7,13,4,31
7,14,3,31
7,15,2,31
7,16,1,31
7,17,1,31
7,18,1,31
7,19,1,31
7,20,0,31
7,21,0,31
7,22,0,31
7,23,0,31
7,24,0,31
7,25,0,31
7,26,0,31
7,27,0,31
7,28,0,31
7,29,0,31
7,30,0,31
7,31,0,31
7,32,0,31
7,33,0,31
7,34,0,31
7,35,0,31
7,36,0,31
7,37,0,31
7,38,0,31
7,39,0,31
7,40,0,31
7,41,0,31
7,42,0,31
7,43,0,31
7,44,0,31
7,45,0,31
7,46,0,31
7,47,0,31
7,48,0,31
7,49,0,31
7,50,0,31
7,51,0,31
7,52,0,31
7,53,0,31
8,1,5,5
8,2,10,10
8,3,9,12
8,4,13,16
8,5,10,20
8,6,12,25
8,7,14,26
8,8,9,32
8,9,10,38
8,10,8,43
8,11,8,46
8,12,9,49
8,13,6,50
8,14,6,50
8,15,4,50
8,16,3,50
8,17,2,50
8,18,1,50
8,19,1,50
8,20,1,50
8,21,1,50
8,22,0,50
8,23,0,50
8,24,0,50
8,25,0,50
8,26,0,50
8,27,0,50
8,28,0,50
8,29,0,50
8,30,0,50
8,31,0,50
8,32,0,50
8,33,0,50
8,34,0,50
8,35,0,50
8,36,0,50
8,37,0,50
8,38,0,50
8,39,0,50
8,40,0,50
8,41,0,50
8,42,0,50
8,43,0,50
8,44,0,50
8,45,0,50
8,46,0,50
8,47,0,50
8,48,0,50
8,49,0,50
8,50,0,50
8,51,0,50
8,52,0,50
8,53,0,50
9,1,5,5
9,2,11,11
9,3,10,14
9,4,15,19
9,5,12,25
9,6,14,34
9,7,16,35
9,8,10,43
9,9,12,50
9,10,9,59
9,11,10,64
9,12,12,71
9,13,9,75
9,14,9,76
9,15,6,76
9,16,5,77
9,17,4,80
9,18,3,80
9,19,3,80
9,20,2,80
9,21,1,80
9,22,1,80
9,23,1,80
9,24,1,80
9,25,0,80
9,26,0,80
9,27,0,80
9,28,0,80
9,29,0,80
9,30,0,80
9,31,0,80
9,32,0,80
9,33,0,80
9,34,0,80
9,35,0,80
9,36,0,80
9,37,0,80
9,38,0,80
9,39,0,80
9,40,0,80
9,41,0,80
9,42,0,80
9,43,0,80
9,44,0,80
9,45,0,80
9,46,0,80
9,47,0,80
9,48,0,80
9,49,0,80
9,50,0,80
9,51,0,80
9,52,0,80
9,53,0,80
10,1,6,6
10,2,12,12
10,3,11,16
10,4,17,22
10,5,14,30
10,6,16,42
10,7,19,46
10,8,12,55
10,9,15,68
10,10,11,86
10,11,12,97
10,12,15,103
10,13,12,118
10,14,13,125
10,15,9,126
10,16,9,126
10,17,7,130
10,18,5,133
10,19,6,133
10,20,4,133
10,21,3,133
10,22,2,133
10,23,2,133
10,24,2,133
10,25,1,133
10,26,1,133
10,27,0,133
10,28,0,133
10,29,0,133
10,30,0,133
10,31,0,133
10,32,0,133
10,33,0,133
10,34,0,133
10,35,0,133
10,36,0,133
10,37,0,133
10,38,0,133
10,39,0,133
10,40,0,133
10,41,0,133
10,42,0,133
10,43,0,133
10,44,0,133
10,45,0,133
10,46,0,133
10,47,0,133
10,48,0,133
10,49,0,133
10,50,0,133
10,51,0,133
10,52,0,133
10,53,0,133
11,1,6,6
11,2,13,13
11,3,12,18
11,4,19,25
11,5,15,35
11,6,18,52
11,7,22,58
11,8,14,70
11,9,18,92
11,10,13,118
11,11,15,141
11,12,18,154
11,13,15,189
11,14,17,207
11,15,13,214
11,16,14,214
11,17,11,226
11,18,10,233
11,19,10,234
11,20,8,234
11,21,7,234
11,22,6,234
11,23,7,234
11,24,8,234
11,25,5,234
11,26,5,234
11,27,4,234
11,28,5,234
11,29,4,234
11,30,5,234
11,31,6,234
11,32,5,234
11,33,6,234
11,34,5,234
11,35,5,234
11,36,6,234
11,37,6,234
11,38,7,234
11,39,7,234
11,40,7,234
11,41,7,234
11,42,6,234
11,43,6,234
11,44,5,234
11,45,5,234
11,46,4,234
11,47,4,234
11,48,4,234
11,49,3,234
11,50,3,234
11,51,3,234
11,52,4,234
11,53,2,234
12,1,7,7
12,2,14,14
12,3,13,21
12,4,21,28
12,5,16,39
12,6,20,63
12,7,25,73
12,8,17,85
12,9,21,117
12,10,15,154
12,11,18,192
12,12,22,214
12,13,19,265
12,14,22,310
12,15,18,326
12,16,19,339
12,17,15,395
12,18,15,426
12,19,16,435
12,20,13,435
12,21,12,435
12,22,10,435
12,23,12,435
12,24,14,435
12,25,11,435
12,26,11,435
12,27,9,435
12,28,10,435
12,29,9,435
12,30,10,435
12,31,12,435
12,32,11,435
12,33,12,435
12,34,11,435
12,35,11,435
12,36,12,435
12,37,12,435
12,38,14,435
12,39,14,435
12,40,15,435
12,41,14,435
12,42,14,435
12,43,14,435
12,44,12,435
12,45,11,435
12,46,9,435
12,47,9,435
12,48,9,435
12,49,7,435
12,50,7,435
12,51,6,435
12,52,8,435
12,53,6,435
13,1,7,7
13,2,15,15
13,3,14,23
13,4,23,31
13,5,18,46
13,6,22,74
13,7,28,88
13,8,19,101
13,9,24,150
13,10,18,199
13,11,21,263
13,12,26,297
13,13,22,363
13,14,26,443
13,15,22,480
13,16,24,528
13,17,20,632
13,18,20,709
13,19,21,733
13,20,18,738
13,21,17,741
13,22,15,750
13,23,17,750
13,24,19,750
13,25,15,750
13,26,16,750
13,27,14,750
13,28,16,750
13,29,14,750
13,30,14,750
13,31,17,750
13,32,16,750
13,33,17,750
13,34,16,750
13,35,17,750
13,36,18,750
13,37,18,750
13,38,20,750
13,39,19,750
13,40,21,750
13,41,20,750
13,42,21,750
13,43,22,750
13,44,19,750
13,45,19,750
13,46,16,750
13,47,15,750
13,48,15,750
13,49,12,750
13,50,12,750
13,51,10,750
13,52,13,750
13,53,10,750
14,1,8,8
14,2,17,17
14,3,15,27
14,4,25,34
14,5,20,53
14,6,25,86
14,7,31,107
14,8,21,123
14,9,27,184
14,10,20,244
14,11,24,344
14,12,30,401
14,13,25,469
14,14,30,608
14,15,26,685
14,16,28,765
14,17,23,930
14,18,24,1100
14,19,26,1172
14,20,23,1196
14,21,23,1258
14,22,20,1286
14,23,22,1286
14,24,25,1286
14,25,20,1286
14,26,21,1286
14,27,18,1286
14,28,21,1286
14,29,19,1286
14,30,20,1286
14,31,23,1286
14,32,21,1286
14,33,22,1286
14,34,21,1286
14,35,23,1286
14,36,24,1286
14,37,24,1286
14,38,26,1286
14,39,25,1286
14,40,27,1286
14,41,25,1286
14,42,27,1286
14,43,29,1286
14,44,26,1286
14,45,27,1286
14,46,23,1286
14,47,23,1286
14,48,23,1286
14,49,18,1286
14,50,18,1286
14,51,15,1286
14,52,18,1286
14,53,14,1286
15,1,8,8
15,2,18,18
15,3,16,30
15,4,27,37
15,5,21,60
15,6,27,97
15,7,34,127
15,8,24,146
15,9,30,223
15,10,23,303
15,11,27,439
15,12,34,536
15,13,28,594
15,14,34,826
15,15,30,962
15,16,32,1063
15,17,27,1311
15,18,29,1654
15,19,32,1806
15,20,29,1868
15,21,29,2082
15,22,25,2175
15,23,28,2189
15,24,31,2222
15,25,25,2239
15,26,27,2239
15,27,23,2315
15,28,26,2336
15,29,23,2336
15,30,25,2336
15,31,29,2336
15,32,27,2336
15,33,28,2336
15,34,26,2336
15,35,28,2336
15,36,30,2336
15,37,30,2336
15,38,32,2336
15,39,31,2336
15,40,33,2336
15,41,31,2336
15,42,33,2336
15,43,35,2336
15,44,32,2336
15,45,34,2336
15,46,30,2336
15,47,31,2336
