C,edge,L_1,L_edge,L_53,mean_tau_pop_pre_edge,tau_pop_geo_per_level
1,4,1,1,0,1.0,1.0
2,7,2,1,0,0.9444444444444445,0.8908987181403393
3,9,2,1,0,0.9895833333333334,0.9170040432046712
4,12,3,1,0,0.9484848484848485,0.9049515755219305
5,14,3,1,0,0.9774725274725274,0.9189637177108657
6,16,4,1,0,0.9595502645502646,0.9117224885582168
7,19,4,1,0,0.9782808241141575,0.9258747122872905
8,21,5,1,0,0.9704655067155068,0.9226808345905884
9,24,5,1,0,0.9813648911474999,0.9324166065745011
10,26,6,1,0,0.9769146795756702,0.9308376691071709
11,53,6,2,2,1.0088428744656417,0.979094455592351
12,53,7,6,6,1.0186075448294132,0.9970399534516846
13,53,7,10,10,1.0282312624611711,1.0068827112705039
14,53,8,14,14,1.0318112601961533,1.0108199589927018
15,53,8,19,19,1.0380402958766934,1.016773690856346
