C,m,L_m,L_m_plus_1,tau_pop_ratio
1,1,1,1,1.0
1,2,1,1,1.0
1,3,1,1,1.0
1,4,1,0,0.0
1,5,0,0,
1,6,0,0,
1,7,0,0,
1,8,0,0,
1,9,0,0,
1,10,0,0,
1,11,0,0,
1,12,0,0,
1,13,0,0,
1,14,0,0,
1,15,0,0,
1,16,0,0,
1,17,0,0,
1,18,0,0,
1,19,0,0,
1,20,0,0,
1,21,0,0,
1,22,0,0,
1,23,0,0,
1,24,0,0,
1,25,0,0,
1,26,0,0,
1,27,0,0,
1,28,0,0,
1,29,0,0,
1,30,0,0,
1,31,0,0,
1,32,0,0,
1,33,0,0,
1,34,0,0,
1,35,0,0,
1,36,0,0,
1,37,0,0,
1,38,0,0,
1,39,0,0,
1,40,0,0,
1,41,0,0,
1,42,0,0,
1,43,0,0,
1,44,0,0,
1,45,0,0,
1,46,0,0,
1,47,0,0,
1,48,0,0,
1,49,0,0,
1,50,0,0,
1,51,0,0,
1,52,0,0,
2,1,2,3,1.5
2,2,3,2,0.6666666666666666
2,3,2,1,0.5
2,4,1,1,1.0
2,5,1,1,1.0
2,6,1,1,1.0
2,7,1,0,0.0
2,8,0,0,
2,9,0,0,
2,10,0,0,
2,11,0,0,
2,12,0,0,
2,13,0,0,
2,14,0,0,
2,15,0,0,
2,16,0,0,
2,17,0,0,
2,18,0,0,
2,19,0,0,
2,20,0,0,
2,21,0,0,
2,22,0,0,
2,23,0,0,
2,24,0,0,
2,25,0,0,
2,26,0,0,
2,27,0,0,
2,28,0,0,
2,29,0,0,
2,30,0,0,
2,31,0,0,
2,32,0,0,
2,33,0,0,
2,34,0,0,
2,35,0,0,
2,36,0,0,
2,37,0,0,
2,38,0,0,
2,39,0,0,
2,40,0,0,
2,41,0,0,
2,42,0,0,
2,43,0,0,
2,44,0,0,
2,45,0,0,
2,46,0,0,
2,47,0,0,
2,48,0,0,
2,49,0,0,
2,50,0,0,
2,51,0,0,
2,52,0,0,
3,1,2,4,2.0
3,2,4,3,0.75
3,3,3,3,1.0
3,4,3,2,0.6666666666666666
3,5,2,1,0.5
3,6,1,1,1.0
3,7,1,1,1.0
3,8,1,1,1.0
3,9,1,0,0.0
3,10,0,0,
3,11,0,0,
3,12,0,0,
3,13,0,0,
3,14,0,0,
3,15,0,0,
3,16,0,0,
3,17,0,0,
3,18,0,0,
3,19,0,0,
3,20,0,0,
3,21,0,0,
3,22,0,0,
3,23,0,0,
3,24,0,0,
3,25,0,0,
3,26,0,0,
3,27,0,0,
3,28,0,0,
3,29,0,0,
3,30,0,0,
3,31,0,0,
3,32,0,0,
3,33,0,0,
3,34,0,0,
3,35,0,0,
3,36,0,0,
3,37,0,0,
3,38,0,0,
3,39,0,0,
3,40,0,0,
3,41,0,0,
3,42,0,0,
3,43,0,0,
3,44,0,0,
3,45,0,0,
3,46,0,0,
3,47,0,0,
3,48,0,0,
3,49,0,0,
3,50,0,0,
3,51,0,0,
3,52,0,0,
4,1,3,5,1.6666666666666667
4,2,5,4,0.8
4,3,4,5,1.25
4,4,5,4,0.8
4,5,4,3,0.75
4,6,3,3,1.0
4,7,3,2,0.6666666666666666
4,8,2,1,0.5
4,9,1,1,1.0
4,10,1,1,1.0
4,11,1,1,1.0
4,12,1,0,0.0
4,13,0,0,
4,14,0,0,
4,15,0,0,
4,16,0,0,
4,17,0,0,
4,18,0,0,
4,19,0,0,
4,20,0,0,
4,21,0,0,
4,22,0,0,
4,23,0,0,
4,24,0,0,
4,25,0,0,
4,26,0,0,
4,27,0,0,
4,28,0,0,
4,29,0,0,
4,30,0,0,
4,31,0,0,
4,32,0,0,
4,33,0,0,
4,34,0,0,
4,35,0,0,
4,36,0,0,
4,37,0,0,
4,38,0,0,
4,39,0,0,
4,40,0,0,
4,41,0,0,
4,42,0,0,
4,43,0,0,
4,44,0,0,
4,45,0,0,
4,46,0,0,
4,47,0,0,
4,48,0,0,
4,49,0,0,
4,50,0,0,
4,51,0,0,
4,52,0,0,
5,1,3,6,2.0
5,2,6,5,0.8333333333333334
5,3,5,7,1.4
5,4,7,6,0.8571428571428571
5,5,6,5,0.8333333333333334
5,6,5,6,1.2
5,7,6,4,0.6666666666666666
5,8,4,3,0.75
5,9,3,2,0.6666666666666666
5,10,2,1,0.5
